Customer_ID,Age,Gender,Region,Income_Level,Coat_Type,Units_Sold,Price_per_Unit,Revenue,Cost_per_Unit,Total_Cost,Profit,Profit_Margin_%,High_Margin
1,56,Male,Midlands,35523.0,3-in-1 Jacket,1,84.32,84.32,62.38,62.38,21.94,26.02,0
2,69,Male,Scotland,39908.0,Waterproof Jacket,1,86.7,86.7,56.15,56.15,30.55,35.24,1
3,46,Female,Wales,22143.0,Softshell,4,179.88,719.52,117.02,468.08,251.44,34.95,0
4,32,Other,South East,34627.0,Softshell,2,90.48,180.96,61.01,122.02,58.94,32.57,0
5,60,Female,Scotland,36381.0,Waterproof Jacket,4,242.95,971.8,133.79,535.16,436.64,44.93,1
6,25,Other,South East,29723.0,3-in-1 Jacket,1,104.13,104.13,76.66,76.66,27.47,26.38,0
7,38,Male,South East,39041.0,Down Jacket,1,131.8,131.8,82.02,82.02,49.78,37.77,1
8,56,Female,Wales,21536.0,Down Jacket,1,219.83,219.83,138.36,138.36,81.47,37.06,1
9,36,Female,South East,31735.0,3-in-1 Jacket,3,117.19,351.57,68.54,205.62,145.95,41.51,1
10,40,Other,Northern Ireland,27468.0,Softshell,2,121.3,242.6,75.89,151.78,90.82,37.44,1
11,28,Male,London,31766.0,Down Jacket,3,189.19,567.57,134.47,403.41,164.16,28.92,0
12,28,Female,Northern Ireland,49470.0,Fleece,4,126.93,507.72,90.12,360.48,147.24,29.0,0
13,41,Male,London,49665.0,Fleece,3,116.97,350.91,86.23,258.69,92.22,26.28,0
14,53,Female,South East,47704.0,Waterproof Jacket,2,123.21,246.42,77.7,155.4,91.02,36.94,1
15,57,Male,North East,30377.0,3-in-1 Jacket,3,163.41,490.23,113.04,339.12,151.11,30.82,0
16,41,Other,North East,44076.0,3-in-1 Jacket,1,244.24,244.24,159.11,159.11,85.13,34.86,0
17,20,Female,London,36124.0,Down Jacket,4,221.48,885.92,157.43,629.72,256.2,28.92,0
18,39,Female,Scotland,35456.0,Softshell,4,128.38,513.52,88.9,355.6,157.92,30.75,0
19,19,Male,Wales,34226.0,3-in-1 Jacket,1,141.77,141.77,88.41,88.41,53.36,37.64,1
20,41,Male,South East,52584.0,Down Jacket,1,158.97,158.97,98.14,98.14,60.83,38.27,1
21,61,Female,Wales,48658.0,Down Jacket,1,246.42,246.42,147.97,147.97,98.45,39.95,1
22,47,Other,Northern Ireland,42449.0,3-in-1 Jacket,2,109.31,218.62,72.72,145.44,73.18,33.47,0
23,55,Male,North East,33297.0,Down Jacket,3,140.77,422.31,104.56,313.68,108.63,25.72,0
24,19,Male,North West,35396.0,Waterproof Jacket,4,204.0,816.0,120.36,481.44,334.56,41.0,1
25,38,Male,Northern Ireland,40306.0,Waterproof Jacket,3,243.87,731.61,138.77,416.31,315.3,43.1,1
26,50,Female,Northern Ireland,29784.0,3-in-1 Jacket,1,106.46,106.46,61.1,61.1,45.36,42.61,1
27,29,Female,London,44383.0,Softshell,1,118.65,118.65,83.84,83.84,34.81,29.34,0
28,39,Female,South West,25788.0,Waterproof Jacket,3,118.37,355.11,73.39,220.17,134.94,38.0,1
29,61,Female,Northern Ireland,38918.0,Waterproof Jacket,4,83.56,334.24,49.71,198.84,135.4,40.51,1
30,42,Other,South East,12103.0,3-in-1 Jacket,2,182.7,365.4,113.38,226.76,138.64,37.94,1
31,66,Other,Midlands,29494.0,Fleece,3,194.02,582.06,131.75,395.25,186.81,32.09,0
32,44,Female,Midlands,55777.0,Down Jacket,1,182.43,182.43,120.29,120.29,62.14,34.06,0
33,59,Other,South East,45362.0,Waterproof Jacket,1,92.12,92.12,64.37,64.37,27.75,30.12,0
34,45,Male,South West,50355.0,Fleece,2,91.77,183.54,56.7,113.4,70.14,38.22,1
35,33,Male,South West,28327.0,Softshell,3,115.77,347.31,74.14,222.42,124.89,35.96,1
36,32,Male,London,36038.0,Fleece,2,129.35,258.7,73.78,147.56,111.14,42.96,1
37,64,Female,North East,47820.0,3-in-1 Jacket,2,213.71,427.42,120.66,241.32,186.1,43.54,1
38,68,Male,Wales,41331.0,Softshell,4,107.1,428.4,68.81,275.24,153.16,35.75,1
39,61,Other,South West,40086.0,Softshell,4,87.5,350.0,53.4,213.6,136.4,38.97,1
40,69,Female,North West,51306.0,Fleece,1,146.98,146.98,98.85,98.85,48.13,32.75,0
41,20,Other,London,24595.0,3-in-1 Jacket,3,150.79,452.37,84.23,252.69,199.68,44.14,1
42,54,Male,Scotland,33158.0,Waterproof Jacket,4,156.65,626.6,89.97,359.88,266.72,42.57,1
43,68,Male,London,17459.0,Fleece,1,220.57,220.57,159.48,159.48,61.09,27.7,0
44,24,Male,Northern Ireland,24049.0,Waterproof Jacket,3,96.66,289.98,64.11,192.33,97.65,33.67,0
45,38,Female,Wales,45742.0,Fleece,1,199.67,199.67,138.25,138.25,61.42,30.76,0
46,26,Other,Scotland,25827.0,Waterproof Jacket,4,137.45,549.8,98.74,394.96,154.84,28.16,0
47,56,Female,Scotland,42355.0,Fleece,1,132.7,132.7,85.3,85.3,47.4,35.72,1
48,35,Female,North West,51585.0,Softshell,3,238.53,715.59,167.5,502.5,213.09,29.78,0
49,21,Male,North West,33221.0,Down Jacket,3,122.24,366.72,80.06,240.18,126.54,34.51,0
50,42,Female,North West,40199.0,Softshell,1,189.23,189.23,112.51,112.51,76.72,40.54,1
51,31,Female,London,42433.0,Waterproof Jacket,3,126.77,380.31,78.28,234.84,145.47,38.25,1
52,67,Male,Wales,22785.0,3-in-1 Jacket,1,166.21,166.21,107.72,107.72,58.49,35.19,1
53,26,Female,London,28835.0,Softshell,3,213.67,641.01,131.06,393.18,247.83,38.66,1
54,43,Male,Midlands,24963.0,Down Jacket,1,229.89,229.89,141.87,141.87,88.02,38.29,1
55,19,Male,Northern Ireland,29633.0,Waterproof Jacket,1,222.58,222.58,137.44,137.44,85.14,38.25,1
56,37,Male,Northern Ireland,42161.0,Softshell,1,178.97,178.97,102.83,102.83,76.14,42.54,1
57,45,Male,North West,29048.0,Fleece,2,122.3,244.6,69.34,138.68,105.92,43.3,1
58,64,Female,Midlands,34648.0,3-in-1 Jacket,3,192.41,577.23,107.61,322.83,254.4,44.07,1
59,24,Male,South West,24575.0,Waterproof Jacket,4,200.68,802.72,114.83,459.32,343.4,42.78,1
60,61,Male,South West,47264.0,Softshell,1,81.82,81.82,50.63,50.63,31.19,38.12,1
61,25,Female,North West,29549.0,Waterproof Jacket,2,154.67,309.34,103.44,206.88,102.46,33.12,0
62,64,Female,London,50230.0,Fleece,4,223.35,893.4,131.25,525.0,368.4,41.24,1
63,52,Other,North West,35609.0,Down Jacket,1,163.23,163.23,118.77,118.77,44.46,27.24,0
64,31,Female,North East,20930.0,Softshell,4,132.93,531.72,94.6,378.4,153.32,28.83,0
65,34,Female,Scotland,33290.0,Waterproof Jacket,2,228.21,456.42,149.27,298.54,157.88,34.59,0
66,53,Other,Northern Ireland,24372.0,Waterproof Jacket,4,106.5,426.0,74.0,296.0,130.0,30.52,0
67,67,Female,South West,40893.0,Waterproof Jacket,1,115.1,115.1,71.74,71.74,43.36,37.67,1
68,57,Female,South East,32386.0,Down Jacket,4,196.85,787.4,109.72,438.88,348.52,44.26,1
69,21,Female,South West,36632.0,Waterproof Jacket,4,139.91,559.64,102.26,409.04,150.6,26.91,0
70,19,Female,Northern Ireland,31306.0,3-in-1 Jacket,1,201.21,201.21,115.81,115.81,85.4,42.44,1
71,23,Other,Scotland,29447.0,3-in-1 Jacket,2,106.81,213.62,79.0,158.0,55.62,26.04,0
72,59,Female,Northern Ireland,25264.0,Waterproof Jacket,2,122.89,245.78,81.65,163.3,82.48,33.56,0
73,21,Female,South East,43362.0,3-in-1 Jacket,4,106.63,426.52,65.16,260.64,165.88,38.89,1
74,46,Other,North West,33268.0,Softshell,3,241.99,725.97,157.08,471.24,254.73,35.09,1
75,35,Male,Midlands,31853.0,3-in-1 Jacket,4,148.92,595.68,96.85,387.4,208.28,34.97,0
76,43,Other,South East,33018.0,Waterproof Jacket,3,137.33,411.99,76.17,228.51,183.48,44.54,1
77,61,Male,Northern Ireland,28211.0,Fleece,4,82.41,329.64,51.18,204.72,124.92,37.9,1
78,51,Other,Northern Ireland,31886.0,Softshell,2,106.08,212.16,74.04,148.08,64.08,30.2,0
79,27,Other,North East,37056.0,Down Jacket,4,151.59,606.36,98.84,395.36,211.0,34.8,0
80,53,Female,North East,24659.0,Waterproof Jacket,4,91.65,366.6,54.88,219.52,147.08,40.12,1
81,31,Male,Wales,26106.0,Down Jacket,3,166.83,500.49,102.94,308.82,191.67,38.3,1
82,48,Female,North East,48783.0,Fleece,2,157.35,314.7,113.7,227.4,87.3,27.74,0
83,65,Male,London,31372.0,Down Jacket,3,210.42,631.26,137.85,413.55,217.71,34.49,0
84,32,Other,Midlands,29484.0,Waterproof Jacket,4,192.17,768.68,126.0,504.0,264.68,34.43,0
85,25,Other,Scotland,21561.0,Waterproof Jacket,1,155.81,155.81,115.66,115.66,40.15,25.77,0
86,31,Male,South East,43507.0,Fleece,4,118.19,472.76,72.59,290.36,182.4,38.58,1
87,40,Female,Northern Ireland,24441.0,Waterproof Jacket,4,203.57,814.28,131.49,525.96,288.32,35.41,1
88,57,Female,Wales,34847.0,Fleece,3,200.34,601.02,142.71,428.13,172.89,28.77,0
89,38,Female,Wales,17918.0,Fleece,1,106.06,106.06,74.43,74.43,31.63,29.82,0
