region,category,store_id,age_group,gender,income_band,units_sold,revenue,high_margin
North West,Socks,Store_A,45-54,Female,Medium,1,7.70392226086465,1
Scotland,Tights,Online,25-34,Male,Low,2,27.542970042858826,1
South East,Legwear,Online,35-44,Female,Medium,1,10.896166776849592,1
South East,Socks,Store_B,45-54,Male,Low,1,8.322040749073741,1
South East,Socks,Online,55+,Female,Medium,1,9.145455870069693,1
Scotland,Legwear,Online,35-44,Female,Low,1,10.974388414461638,1
Scotland,Accessories,Store_A,55+,Male,Low,4,55.43914844239607,1
Wales,Accessories,Store_B,55+,Male,Medium,1,13.923198807754973,1
South East,Accessories,Store_B,35-44,Male,Medium,1,14.60749156711277,1
Wales,Tights,Store_B,35-44,Female,Medium,1,11.14446881363957,1
Wales,Tights,Store_A,35-44,Other,Low,7,94.52257470674338,1
Scotland,Tights,Store_A,25-34,Female,Medium,1,12.405981935245833,1
Scotland,Socks,Store_A,55+,Female,Medium,3,28.207509623418456,1
North West,Socks,Store_A,55+,Male,Medium,1,8.811116353248426,1
Scotland,Accessories,Online,35-44,Female,Medium,1,13.949520563346745,1
Scotland,Accessories,Online,25-34,Male,Low,2,31.398825690329115,1
South East,Legwear,Online,35-44,Male,High,2,23.663947028589277,1
South East,Accessories,Store_B,45-54,Male,High,2,33.41440738912749,1
London,Socks,Online,25-34,Female,Low,1,8.593515242805706,1
Midlands,Legwear,Store_B,45-54,Female,Medium,1,11.309721099034988,1
London,Tights,Online,18-24,Female,Low,7,86.63943498456003,1
South East,Legwear,Store_A,55+,Male,Low,2,19.768543725326907,1
Scotland,Tights,Store_B,45-54,Female,Medium,2,26.399275878850077,1
North West,Accessories,Online,55+,Female,Medium,1,15.649235696829017,1
North West,Accessories,Online,35-44,Male,High,1,17.571105713832267,1
London,Legwear,Online,18-24,Other,Medium,2,19.220043922300395,1
North West,Socks,Online,45-54,Female,Medium,1,7.402362064455726,1
South East,Legwear,Store_A,55+,Male,Low,3,30.007073426835944,1
Wales,Socks,Online,45-54,Female,Low,2,15.06339670253572,1
London,Accessories,Online,35-44,Male,Low,2,31.86379811727503,1
North West,Accessories,Online,25-34,Female,Medium,1,16.84092736677627,1
Midlands,Socks,Online,25-34,Female,Medium,4,36.67936532294206,1
South East,Accessories,Online,55+,Female,Low,4,71.04746609826923,1
Midlands,Socks,Store_A,18-24,Female,Medium,4,29.58648103068232,1
Scotland,Legwear,Online,18-24,Male,Low,2,21.93265875140737,1
Midlands,Tights,Online,55+,Male,Medium,3,42.7540543221914,1
North West,Socks,Store_A,45-54,Female,Low,2,17.42877042212974,1
Wales,Accessories,Online,25-34,Other,Low,4,64.25586907034223,1
North West,Accessories,Online,35-44,Male,Low,2,27.207410435046402,1
